split,row_id,query_label,query_text,correct_document_label,predicted_document_label,model,negation_type
test,1000-2,q1,What island group had always been unoccupied before the Portuguese came?,doc1,doc2,sbert,other
test,1000-2,q2,What island group had not always been unoccupied before the Portuguese came?,doc2,doc1,bm25,explicit
test,1000-2,q2,What island group had not always been unoccupied before the Portuguese came?,doc2,doc1,tfidf,explicit
test,1000-2,q2,What island group had not always been unoccupied before the Portuguese came?,doc2,doc1,monot5_3b,explicit
test,1000-3,q1,What unoccupied islands id the Portuguese colonize and develop?,doc1,doc2,tfidf,other
test,1000-3,q1,What unoccupied islands id the Portuguese colonize and develop?,doc1,doc2,sbert,other
test,1000-3,q2,What occupied islands id the Portuguese colonize and develop?,doc2,doc1,bm25,other
test,1000-3,q2,What occupied islands id the Portuguese colonize and develop?,doc2,doc1,monot5_3b,other
test,1001-2,q1,Whose paternal background remains a secret?,doc1,doc2,bm25,other
test,1001-2,q1,Whose paternal background remains a secret?,doc1,doc2,sbert,other
test,1001-2,q1,Whose paternal background remains a secret?,doc1,doc2,monot5_3b,other
test,1001-2,q2,Whose paternal background is no longer a secret?,doc2,doc1,tfidf,explicit
test,1001-3,q1,For whom was her father's identity not known?,doc1,doc2,tfidf,explicit
test,1001-3,q1,For whom was her father's identity not known?,doc1,doc2,sbert,explicit
test,1001-3,q1,For whom was her father's identity not known?,doc1,doc2,monot5_3b,explicit
test,1001-3,q2,For whom was her father's identity not known resulting in her using Baker as a surname?,doc2,doc1,bm25,explicit
test,1002-2,q1,Who is attempting to vacation in a familiar area?,doc1,doc2,bm25,other
test,1002-2,q2,Who is attempting to vacation in an unfamiliar area?,doc2,doc1,bm25,other
test,1002-2,q2,Who is attempting to vacation in an unfamiliar area?,doc2,doc1,sbert,other
test,1002-3,q1,Whose ship is attacked by unfamiliar enemies?,doc1,doc2,bm25,other
test,1002-3,q1,Whose ship is attacked by unfamiliar enemies?,doc1,doc2,sbert,other
test,1002-3,q2,Whose ship is attacked by familiar enemies?,doc2,doc1,tfidf,other
test,1003-2,q1,In what country did a majority of household debt exist in Czech denominations?,doc1,doc2,bm25,other
test,1003-2,q1,In what country did a majority of household debt exist in Czech denominations?,doc1,doc2,tfidf,other
test,1003-2,q1,In what country did a majority of household debt exist in Czech denominations?,doc1,doc2,sbert,other
test,1003-2,q2,In what country did a majority of household debt exist in non-Czech denominations?,doc2,doc1,bm25,other
test,1003-3,q1,"What currency, dissimilar to other post-communist countries, comprises the majority of household debt?",doc1,doc2,bm25,other
test,1003-3,q1,"What currency, dissimilar to other post-communist countries, comprises the majority of household debt?",doc1,doc2,tfidf,other
test,1003-3,q1,"What currency, dissimilar to other post-communist countries, comprises the majority of household debt?",doc1,doc2,sbert,other
test,1003-3,q2,"What currency, similar to other post-communist countries, comprises the majority of household debt?",doc2,doc1,monot5_3b,other
test,1004-3,q2,Who said that ESP is real in addition to being testable by science?,doc2,doc1,bm25,other
test,1004-3,q2,Who said that ESP is real in addition to being testable by science?,doc2,doc1,tfidf,other
test,1004-3,q2,Who said that ESP is real in addition to being testable by science?,doc2,doc1,sbert,other
test,1005-2,q1,What neighborhood in New York had schools staffed by unexperienced teachers?,doc1,doc2,bm25,other
test,1005-2,q1,What neighborhood in New York had schools staffed by unexperienced teachers?,doc1,doc2,sbert,other
test,1005-2,q2,What neighborhood in New York had schools staffed by experienced teachers and unexperienced executives?,doc2,doc1,bm25,other
test,1005-3,q1,What neighborhood featured schools staffed with neophyte teachers?,doc1,doc2,bm25,other
test,1005-3,q1,What neighborhood featured schools staffed with neophyte teachers?,doc1,doc2,sbert,other
test,1005-3,q2,What neighborhood featured schools staffed with jaded teachers?,doc2,doc1,tfidf,other
test,1006-2,q2,Which movie does fit with the TV series?,doc2,doc1,bm25,other
test,1006-2,q2,Which movie does fit with the TV series?,doc2,doc1,tfidf,other
test,1006-2,q2,Which movie does fit with the TV series?,doc2,doc1,sbert,other
test,1006-3,q1,What other work is this film unconnected to?,doc1,doc2,tfidf,other
test,1006-3,q1,What other work is this film unconnected to?,doc1,doc2,sbert,other
test,1006-3,q2,What other work is this film connected to?,doc2,doc1,bm25,other
test,1007-2,q1,"Who was not recognized as a professional actor when he auditioned for Galaxy Quest against Kieran Culkin, Eddie Kay Thomas, and Tom Everett Scott?",doc1,doc2,bm25,explicit
test,1007-2,q1,"Who was not recognized as a professional actor when he auditioned for Galaxy Quest against Kieran Culkin, Eddie Kay Thomas, and Tom Everett Scott?",doc1,doc2,sbert,explicit
test,1007-2,q2,"Who was recognized as a professional actor when he auditioned for Galaxy Quest against Kieran Culkin, Eddie Kay Thomas, and Tom Everett Scott?",doc2,doc1,tfidf,other
test,1007-3,q1,Who was nervous to audition for Galaxy Quest due to being new to the acting scene?,doc1,doc2,bm25,other
test,1007-3,q2,Who was nervous to audition for Galaxy Quest although he was not new to the acting scene?,doc2,doc1,tfidf,explicit
test,1007-3,q2,Who was nervous to audition for Galaxy Quest although he was not new to the acting scene?,doc2,doc1,sbert,explicit
test,1008-2,q1,What do oysters produce that are commonly around half an inch in diameter?,doc1,doc2,bm25,other
test,1008-2,q1,What do oysters produce that are commonly around half an inch in diameter?,doc1,doc2,monot5_3b,other
test,1008-2,q2,What do oysters produce that are rarely around half an inch in diameter?,doc2,doc1,tfidf,other
test,1008-2,q2,What do oysters produce that are rarely around half an inch in diameter?,doc2,doc1,sbert,other
test,1008-3,q2,What can be found in sizes up to 1 cm?,doc2,doc1,tfidf,other
test,1008-3,q2,What can be found in sizes up to 1 cm?,doc2,doc1,sbert,other
test,1009-2,q1,What country purchased two Sea Guardians as is from the United States?,doc1,doc2,bm25,other
test,1009-2,q1,What country purchased two Sea Guardians as is from the United States?,doc1,doc2,tfidf,other
test,1009-2,q1,What country purchased two Sea Guardians as is from the United States?,doc1,doc2,sbert,other
test,1009-2,q2,What country bought two Sea Guardians from the United States to be overhauled by their own armed services?,doc2,doc1,bm25,other
test,1009-3,q1,What drone has a non-armed version?,doc1,doc2,bm25,other
test,1009-3,q1,What drone has a non-armed version?,doc1,doc2,tfidf,other
test,1009-3,q1,What drone has a non-armed version?,doc1,doc2,sbert,other
test,1009-3,q2,What drone has no unarmed versions?,doc2,doc1,tfidf,explicit
test,1009-3,q2,What drone has no unarmed versions?,doc2,doc1,sbert,explicit
test,1009-3,q2,What drone has no unarmed versions?,doc2,doc1,monot5_3b,explicit
test,1010-2,q1,What slogan is approved by citizens?,doc1,doc2,tfidf,other
test,1010-2,q1,What slogan is approved by citizens?,doc1,doc2,sbert,other
test,1010-2,q1,What slogan is approved by citizens?,doc1,doc2,monot5_3b,other
test,1010-2,q2,What slogan is approved by local government?,doc2,doc1,bm25,other
test,1010-3,q1,What city has an unrecognized motto referring to protecting small businesses from being overrun by large corporations?,doc1,doc2,tfidf,other
test,1010-3,q2,What city has an official motto referring to protecting small businesses from being overrun by large corporations?,doc2,doc1,bm25,other
test,1010-3,q2,What city has an official motto referring to protecting small businesses from being overrun by large corporations?,doc2,doc1,sbert,other
test,1010-3,q2,What city has an official motto referring to protecting small businesses from being overrun by large corporations?,doc2,doc1,monot5_3b,other
test,1011-3,q1,What is challenging to learn because it is unique from other languages?,doc1,doc2,tfidf,other
test,1011-3,q1,What is challenging to learn because it is unique from other languages?,doc1,doc2,sbert,other
test,1011-3,q2,What is challenging to learn because it is not unique from other languages?,doc2,doc1,bm25,explicit
test,1011-3,q2,What is challenging to learn because it is not unique from other languages?,doc2,doc1,monot5_3b,explicit
test,1012-2,q1,"Which publisher of ""Lady Chatterley's Lover"" beat an obscenity charge?",doc1,doc2,bm25,other
test,1012-2,q2,"Which publisher of ""Lady Chatterley's Lover"" did not beat an obscenity charge?",doc2,doc1,tfidf,explicit
test,1012-2,q2,"Which publisher of ""Lady Chatterley's Lover"" did not beat an obscenity charge?",doc2,doc1,sbert,explicit
test,1012-3,q1,What novel was the subject of a failed UK prosecution in 1961 against Penguin Books?,doc1,doc2,bm25,other
test,1012-3,q1,What novel was the subject of a failed UK prosecution in 1961 against Penguin Books?,doc1,doc2,tfidf,other
test,1012-3,q1,What novel was the subject of a failed UK prosecution in 1961 against Penguin Books?,doc1,doc2,sbert,other
test,1014-2,q1,What type of government hates inherited privilege?,doc1,doc2,tfidf,other
test,1014-2,q1,What type of government hates inherited privilege?,doc1,doc2,sbert,other
